=================================  ==============================================================================================================================================================================================================================================================================================================================================================
libharu                            2.2.1
libint                             1.1.4
libjpeg-turbo                      1.4.2, 1.5.1
libsmm                             20150702
libtiff                            3.9.7, 4.0.10
libuuid                            2.23.2-43
libxc                              4.1.0
libxsmm                            1.9
libzip                             0.10.1-8
lighter                            1.1.2
lkh                                2.0.9
lmdb                               latest
locuszoom                          1.4
lofreq                             2.1.3.1
lsd                                0.3beta
**M**                              .. _M:
macs2                              2.1.1.20160309
mafft                              7.310
magic-impute                       1.5.5
magma                              1.6.1, 2.0.2
mainmast                           1.0
mango                              4.0.1
manta                              1.5.0-gcc5
mantid                             3.13.0, 3.8.0, 3.9.0
mapdamage                          2.0.9
mash                               2.1(default), 2.1.1
materialsstudio                    18.1.0
mathematica                        11.0.1, 12.0.0
mathgl                             1.11.2, 2.0.3(default), 2.3.3
matlab                             r2012b, r2014a, r2015b, r2016a, r2017a, r2017b, r2017b-caffe, r2018a, r2019a
mauve                              20150213
maven                              3.3.9
maxquant                           1.6.5.0
mc                                 4.8.21
mcl                                11-294
mcr2010b                           1.0
megahit                            1.1.3, 1.2.4-beta
meme                               5.0.1
merantk                            1.2.1
mercurial                          4.7.1
mesa                               13.0.5, default
meshlab                            2016.12-gcc5, 2019.03
meson                              0.51.0
metal                              2011
metaplotr                          2018_09
metawrap                           1.1.3
mevislab                           2.8.1-gcc-64bit
*miakat* ``restricted``            4.2.6
minc-lib                           2.2-git-gcc4
minc-tools                         2.2
miniconda3                         4.1.11-python3.5
minizinc                           2
mixcr                              3.0.7
mkl                                2018u3
mlst                               2.15
mne                                TF-201804
molden                             5.7
mono                               5.20.1.19
moose                              1.0
morphind                           1.4
motioncor2                         20180924, 20181020, 20181020-cuda91, 2.1, 2.1.10-cuda8, 2.1.10-cuda9.1
motioncorr                         2.1
motioncorr2                        20160822
mpfr                               3.1.5
mpifileutils                       20170922
mrbayes                            3.2.6, 3.2.6-mpi
*mrf* ``restricted``               0.2.2(default)
mriconvert                         2.1.0
mricrogl                           1.0.20170207
mricron                            06.2013, 30apr2016
mriqc                              0.14.2, 0.9.7
mrtrix                             0.3.15-gcc4, 0.3.15-gcc5, 0.3.16, 20170712, 3.0_rc3
msm_hocr                           3.0
mummer                             3.23-gcc5, 4.0.0.beta2-gcc5
muscle                             3.8.31
mustem                             5.3
mxtools                            0.1
mytardis                           0.1(default)
**N**                              .. _N:
namd                               2.12-ibverbs-smp-cuda, 2.12-multicore, 2.13-multicore-CUDA
nanofilt                           201807
nanopolish                         0.10.1, 0.11.1
nccl                               2.4.7-cuda10.0, 2.4.7-cuda9.1, master, master-gcc4
netcdf                             4.4.1.1(default), 4.4.1.1-openmpi-1.10.7-mlx, 4.7.0
neuro_workflow                     2017v2
new-fugue                          2010-06-02
newick-utils                       1.6
ngsqctoolkit                       2.3.3
niftilib                           2.0.0
niistat                            9.oct.2016
ninja                              1.9.0
nis-elements-viewer                4.20
nlopt                              2.6.1
*nn* ``restricted``                0.2.4(default)
novactf                            03.2018
nullarbor                          2.0.20181010
**O**                              .. _O:
*objexport* ``restricted``         0.0.4(default)
octopus                            8.4, 8.4-parallel
openbabel                          2.4.1
openblas                           0.2.20
opencv                             3.4.1, 3.4.1-gcc4, 4.1.0
openfoam                           4.1, 5-paraview54, 5.x
openjpeg                           2.3.0
openmpi                            1.10.3-gcc4-mlx, 1.10.3-gcc4-mlx-cuda75, 1.10.3-gcc4-mlx-verbs, 1.10.3-gcc4-mlx-verbs-cuda75, 1.10.3-gcc5, 1.10.3-gcc5-mlx, 1.10.7-1.mlx, 1.10.7-intel, 1.10.7-mlx(default), 3.1.4-mlx
opennmt-py                         0.7.0
openrefine                         3.1
orca                               4.0.1
orfm                               v0.7.1
**P**                              .. _P:
packer                             1.3.5
paleomix                           1.2.13.4-python2
paml                               4.9
pandoc                             2.7.3
paraview                           4.0.1, 5.6.0
pastml                             1.0
pbzip2                             1.1.13
peakseq                            1.3.1
perl                               5.24.0, 5.28.0
petsc                              3.10.1-gcc5
pgi                                19.4, 2019
phate                              0.4.4
*phenix* ``restricted``            1.11.1, 1.15.1, 1.15.2
phreeqc                            3.5.0
phyml                              3.1
picard                             2.19.0, 2.9.2
pigz                               2.3.3, 2.3.4
pilon                              1.22
pindel                             0.6.3-gcc5
plink                              1.7, 1.9, 1.90b6.10, 2.0-alpha
plinkseq                           0.10
plumed                             2.5.0
pmix                               4.0.0, v2.2
pointless                          1.10.28
